ISO,rank,situation,color
NOR,1,Good,white
FIN,2,Good,white
DNK,3,Good,white
SWE,4,Good,white
NLD,5,Good,white
JAM,6,Good,white
CRI,7,Good,white
CHE,8,Good,white
NZL,9,Good,white
PRT,10,Good,white
DEU,11,Good,white
BEL,12,Good,white
IRL,13,Good,white
EST,14,Good,white
ISL,15,Satisfactory,yellow
CAN,16,Satisfactory,yellow
LUX,17,Satisfactory,yellow
AUT,18,Satisfactory,yellow
URY,19,Satisfactory,yellow
SUR,20,Satisfactory,yellow
WSM,21,Satisfactory,yellow
LVA,22,Satisfactory,yellow
NAM,23,Satisfactory,yellow
LIE,24,Satisfactory,yellow
CPV,25,Satisfactory,yellow
AUS,26,Satisfactory,yellow
CYP,27,Satisfactory,yellow
LTU,28,Satisfactory,yellow
ESP,29,Satisfactory,yellow
GHA,30,Satisfactory,yellow
ZAF,31,Satisfactory,yellow
SVN,32,Satisfactory,yellow
SVK,33,Satisfactory,yellow
FRA,34,Satisfactory,yellow
GBR,35,Satisfactory,yellow
TTO,36,Satisfactory,yellow
AND,37,Satisfactory,yellow
BFA,38,Satisfactory,yellow
BWA,39,Satisfactory,yellow
CZE,40,Satisfactory,yellow
ITA,41,Satisfactory,yellow
KOR,42,Satisfactory,yellow
TWN,43,Satisfactory,yellow
XCD,44,Satisfactory,yellow
USA,45,Satisfactory,yellow
PNG,46,Satisfactory,yellow
SEN,47,Satisfactory,yellow
ROU,48,Problematic,orange
GUY,49,Problematic,orange
TON,50,Problematic,orange
CHL,51,Problematic,orange
FJI,52,Problematic,orange
BLZ,53,Problematic,orange
MDG,54,Problematic,orange
DOM,55,Problematic,orange
MUS,56,Problematic,orange
NER,57,Problematic,orange
BIH,58,Problematic,orange
HRV,59,Problematic,orange
GEO,60,Problematic,orange
ARM,61,Problematic,orange
POL,62,Problematic,orange
SYC,63,Problematic,orange
ARG,64,Problematic,orange
GRC,65,Problematic,orange
JPN,66,Problematic,orange
BTN,67,Problematic,orange
CIV,68,Problematic,orange
MWI,69,Problematic,orange
XKO,70,Problematic,orange
TGO,71,Problematic,orange
TUN,72,Problematic,orange
MNG,73,Problematic,orange
SLV,74,Problematic,orange
COM,75,Problematic,orange
PAN,76,Problematic,orange
CTU,77,Problematic,orange
TLS,78,Problematic,orange
MDV,79,Problematic,orange
HKG,80,Problematic,orange
MLT,81,Problematic,orange
KGZ,82,Problematic,orange
HTI,83,Problematic,orange
ALB,84,Problematic,orange
SLE,85,Problematic,orange
LSO,86,Problematic,orange
GMB,87,Problematic,orange
ISR,88,Problematic,orange
HUN,89,Problematic,orange
PER,90,Problematic,orange
MDA,91,Problematic,orange
MKD,92,Problematic,orange
SRB,93,Problematic,orange
GNB,94,Problematic,orange
LBR,95,Problematic,orange
UKR,96,Problematic,orange
MRT,97,Problematic,orange
ECU,98,Problematic,orange
ETH,99,Problematic,orange
PRY,100,Problematic,orange
MYS,101,Problematic,orange
LBN,102,Problematic,orange
KEN,103,Problematic,orange
MOZ,104,Problematic,orange
MNE,105,Problematic,orange
AGO,106,Problematic,orange
BRA,107,Problematic,orange
MLI,108,Problematic,orange
KWT,109,Problematic,orange
GIN,110,Problematic,orange
BGR,111,Difficult,red
NPL,112,Difficult,red
BEN,113,Difficult,red
BOL,114,Difficult,red
NGA,115,Difficult,red
GTM,116,Difficult,red
NIC,117,Difficult,red
COG,118,Difficult,red
IDN,119,Difficult,red
ZMB,120,Difficult,red
GAB,121,Difficult,red
AFG,122,Difficult,red
TCD,123,Difficult,red
TZA,124,Difficult,red
UGA,125,Difficult,red
ZWE,126,Difficult,red
LKA,127,Difficult,red
JOR,128,Difficult,red
QAT,129,Difficult,red
COL,130,Difficult,red
ARE,131,Difficult,red
CAF,132,Difficult,red
MAR,133,Difficult,red
CMR,134,Difficult,red
OMN,135,Difficult,red
PHL,136,Difficult,red
PSE,137,Difficult,red
SSD,138,Difficult,red
MMR,139,Difficult,red
THA,140,Difficult,red
