Team,WPCT,TPP
Brooklyn Nets,0.636363636,0.406
Milwaukee Bucks,0.59375,0.396
Los Angeles Clippers,0.696969697,0.422
Golden State Warriors,0.53125,0.374
Philadelphia 76ers,0.65625,0.362
Toronto Raptors,0.5,0.381
Utah Jazz,0.806451613,0.397
Los Angeles Lakers,0.6875,0.354
Denver Nuggets,0.548387097,0.384
Portland Trail Blazers,0.580645161,0.383
Sacramento Kings,0.387096774,0.368
Atlanta Hawks,0.419354839,0.357
Minnesota Timberwolves,0.21875,0.356
New Orleans Pelicans,0.433333333,0.365
Chicago Bulls,0.466666667,0.378
Boston Celtics,0.483870968,0.371
Phoenix Suns,0.666666667,0.38
Dallas Mavericks,0.5,0.352
Orlando Magic,0.40625,0.352
Detroit Pistons,0.290322581,0.348
Cleveland Cavaliers,0.34375,0.341
Charlotte Hornets,0.466666667,0.381
Washington Wizards,0.379310345,0.344
New York Knicks,0.46875,0.358
Miami Heat,0.451612903,0.352
Oklahoma City Thunder,0.387096774,0.345
Indiana Pacers,0.517241379,0.371
Houston Rockets,0.379310345,0.34
San Antonio Spurs,0.592592593,0.358
Memphis Grizzlies,0.481481481,0.353
