team,seed,winPct,position,newPos,round,favorite,regionVal,region,rs,direction
Gonzaga,1,0.994,1,1,1,1,1,west,east1,
Georgia State,16,0.006,2,2,1,0,1,west,east16,down
Boise State,8,0.888,4,4,1,1,1,west,east8,
Memphis,9,0.112,5,5,1,0,1,west,east9,up
Connecticut,5,0.597,7,7,1,1,1,west,east5,
New Mexico St,12,0.403,8,8,1,0,1,west,east12,down
Arkansas,4,0.483,10,10,1,1,1,west,east4,
Vermont,13,0.517,11,11,1,0,1,west,east13,up
Alabama,6,0.392,13,13,1,1,1,west,east6,
Notre Dame*,11,0.608,14,14,1,0,1,west,east11,down
Texas Tech,3,0.834,16,16,1,1,1,west,east3,
Montana State,14,0.166,17,17,1,0,1,west,east14,up
Michigan St,7,0.157,19,19,1,1,1,west,east7,
Davidson,10,0.843,20,20,1,0,1,west,east10,down
Duke,2,0.937,22,22,1,1,1,west,east2,
CSU Fullerton,15,0.063,23,23,1,0,1,west,east15,up
Gonzaga,1,0.977,2.5,2.5,2,1,1,west,east1,
Boise State,8,0.023,3.5,3.5,2,0,1,west,east8,down
Connecticut,5,0.68,8.5,8.5,2,1,1,west,east5,
Vermont,13,0.32,9.5,9.5,2,0,1,west,east4,up
Notre Dame,11,0.165,14.5,14.5,2,1,1,west,east6,
Texas Tech,3,0.835,15.5,15.5,2,0,1,west,east3,down
Davidson,10,0.275,20.5,20.5,2,1,1,west,east7,
Duke,2,0.725,21.5,21.5,2,0,1,west,east2,up
Gonzaga,1,0.977,5.5,5.5,3,1,1,west,east1,
Connecticut,5,0.023,6.5,6.5,3,0,1,west,east4,down
Texas Tech,3,0.232,17.5,17.5,3,1,1,west,east6,
Duke,2,0.768,18.5,18.5,3,0,1,west,east2,up
Gonzaga,1,0.946,11.5,11.5,4,1,1,west,east1,
Duke,2,0.054,12.5,12.5,4,1,1,west,east2,
Gonzaga,1,0.591,1,101,1,1,5,west,east1,
Baylor,1,0.917,1,26,1,1,2,east,west1,
Norfolk State,16,0.083,2,27,1,0,2,east,west16,down
North Carolina,8,0.498,4,29,1,1,2,east,west8,
Marquette,9,0.502,5,30,1,0,2,east,west9,up
Saint Mary's,5,0.643,7,32,1,1,2,east,west5,
Indiana,12,0.357,8,33,1,0,2,east,west12,down
