States,PresDem,PresRep,PresMargin,State,DemCandidate,SenDem,SenRep,RPT.,SenMargin,DemMargin,RepMargin,TotalMargin,Label,GeorgiaSpecial,0.329,0.259,0.97
Alabama,0.365,0.621,-0.256,Alabama,Jones,0.397,0.601,>99%,-0.204,-0.032,0.02,-0.052,"In Alabama, Biden underperformed Jones by 3.2 points",,,,
Alaska,0.403,0.559,-0.156,Alaska,Gross,0.41,0.543,0.87,-0.133,-0.007,0.016,-0.023,"In Alaska, Biden underperformed Gross by 0.7 points",,,,
Arizona,0.494,0.491,0.003,Arizona,Kelly,0.512,0.488,0.98,0.024,-0.018,0.003,-0.021,"In Arizona, Biden underperformed Kelly by 1.8 points",,,,
Arkansas,0.346,0.626,-0.28,Arkansas,,0,0.667,0.96,-0.667,,-0.041,0.387,,,,,
California,0.642,0.337,0.305,,,,,,0,,,0.305,,,,,
Colorado,0.554,0.419,0.135,Colorado,Hickenlooper,0.535,0.442,0.96,0.093,0.019,-0.023,0.042,"In Colorado, Biden overperformed Hickenlooper by 1.9 points",,,,
Connecticut,0.592,0.392,0.2,,,,,,0,,,0.2,,,,,
Delaware,0.588,0.398,0.19,Delaware,Coons,0.594,0.379,0.97,0.215,-0.006,0.019,-0.025,"In Delaware, Biden underperformed Coons by 0.6 points",,,,
District of Columbia,0.924,0.053,0.871,,,,,,0,,,0.871,,,,,
Florida,0.478,0.512,-0.034,,,,,,0,,,-0.034,,,,,
Georgia,0.495,0.492,0.003,Georgia,Ossoff,0.48,0.497,0.99,-0.017,0.015,-0.005,0.02,"In Georgia, Biden overperformed Ossoff by 1.5 points",,,,
Hawaii,0.637,0.343,0.294,,,,,,0,,,0.294,,,,,
Idaho,0.331,0.638,-0.307,Idaho,Jordan,0.333,0.626,0.98,-0.293,-0.002,0.012,-0.014,"In Idaho, Biden underperformed Jordan by 0.2 points",,,,
