year,wage,productivity
1948,1,1
1949,1.0624,1.0155
1950,1.1046,1.0934
1951,1.1174,1.1224
1952,1.1502,1.1549
1953,1.2082,1.1941
1954,1.2348,1.2144
1955,1.287,1.2638
1956,1.3389,1.2659
1957,1.3708,1.3004
1958,1.3808,1.3272
1959,1.4246,1.3763
1960,1.4538,1.4006
1961,1.4784,1.4437
1962,1.5232,1.498
1963,1.5486,1.5503
1964,1.5832,1.5994
1965,1.6227,1.6492
1966,1.647,1.6995
1967,1.6668,1.7198
1968,1.7105,1.7713
1969,1.7439,1.7785
1970,1.7681,1.8035
1971,1.8166,1.871
1972,1.9134,1.922
1973,1.9096,1.9696
1974,1.8705,1.9383
1975,1.8686,1.9811
1976,1.8935,2.0359
1977,1.9282,2.0605
1978,1.9566,2.0827
1979,1.9325,2.0811
1980,1.8805,2.0677
1981,1.8736,2.105
1982,1.877,2.0837
1983,1.8849,2.1451
1984,1.8703,2.2021
1985,1.8618,2.2365
1986,1.8725,2.2828
1987,1.8467,2.288
1988,1.8402,2.3201
1989,1.8393,2.3412
1990,1.8237,2.3695
1991,1.8202,2.385
1992,1.832,2.4748
1993,1.8346,2.4851
1994,1.8389,2.5054
1995,1.8276,2.5159
1996,1.8287,2.5624
1997,1.8487,2.6072
1998,1.8927,2.6621
1999,1.9198,2.7346
2000,1.9296,2.7947
2001,1.956,2.8371
2002,1.9949,2.915
2003,2.0158,3.0122
2004,2.0056,3.0929
2005,1.9973,3.1529
2006,1.9988,3.1761
2007,2.0145,3.1978
2008,2.0139,3.2139
2009,2.093,3.2875
2010,2.11,3.3823
2011,2.0847,3.3821
2012,2.065,3.3957
2013,2.084,3.4096
2014,2.0908,3.4291
2015,2.1241,3.4575
2016,2.1439,3.4634
2017,2.1467,3.4978
2018,2.1562,3.529
