team,seed,winPct,position,newPos,round,favorite,regionVal,region,rs,direction
East Carolina,8,0.252,4,4,1,1,1,east,east8,
Wichita State,9,0.748,5,5,1,0,1,east,east9,up
Tulane,6,0.754,13,13,1,1,1,east,east6,
Tulsa,11,0.246,14,14,1,0,1,east,east11,down
Cincinnati,7,0.867,19,19,1,1,1,east,east7,
South Florida,10,0.133,20,20,1,0,1,east,east10,down
Houston,1,0.898,2.5,2.5,2,1,1,east,east1,
Wichita State,9,0.102,3.5,3.5,2,0,1,east,east8,down
Temple,5,0.348,8.5,8.5,2,1,1,east,east5,
UCF,4,0.652,9.5,9.5,2,0,1,east,east4,up
Tulane,6,0.153,14.5,14.5,2,1,1,east,east6,
Wyoming,3,0.847,15.5,15.5,2,0,1,east,east3,down
Cincinnati,7,0.515,20.5,20.5,2,1,1,east,east7,
Memphis,2,0.485,21.5,21.5,2,0,1,east,east2,up
Houston,1,0.656,5.5,5.5,3,1,1,east,east1,
UCF,4,0.344,6.5,6.5,3,0,1,east,east4,down
SMU,3,0.755,17.5,17.5,3,1,1,east,east6,
Cincinnati,7,0.245,18.5,18.5,3,0,1,east,east2,up
Houston,1,0.805,11.5,11.5,4,1,1,east,east1,
SMU,3,0.195,12.5,12.5,4,1,1,east,east2,
