state,value,status,,,,,,
Alabama,1,Access to an abortion is restricted,,,,,,
Alaska,0,No laws regarding access to an abortion,,,,,,
Arkansas,1,Access to an abortion is restricted,,,,,,
Arizona,1,Access to an abortion is restricted,,,,,,
California,2,Access to an abortion is guaranteed,,,,,, 
Colorado,0,No laws regarding access to an abortion,,,,,,
Connecticut,2,Access to an abortion is guaranteed,,,,,,
Delaware,2,Access to an abortion is guaranteed,,,,,,
Florida,0,No laws regarding access to an abortion,,,,,,
Georgia,0,No laws regarding access to an abortion,,,,,,
Hawaii,2,Access to an abortion is guaranteed,,,,,,
Iowa,1,Access to an abortion is restricted,,,,,,
Idaho,0,No laws regarding access to an abortion,,,,,,
Illinois,0,No laws regarding access to an abortion,,,,,,
Indiana,0,No laws regarding access to an abortion,,,,,,
Kansas,1,Access to an abortion is restricted,,,,,,
Kentucky,1,Access to an abortion is restricted,,,,,,
Louisiana,1,Access to an abortion is restricted,,,,,,
Maine,2,Access to an abortion is guaranteed,,,,,,
Maryland,2,Access to an abortion is guaranteed,,,,,,
Massachusetts,0,No laws regarding access to an abortion,,,,,,
Michigan,1,Access to an abortion is restricted,,,,,,
Minnesota,0,No laws regarding access to an abortion,,,,,,
Missouri,1,Access to an abortion is restricted,,,,,,
Mississippi,1,Access to an abortion is restricted,,,,,,
Montana,0,No laws regarding access to an abortion,,,,,,
North Carolina,0,No laws regarding access to an abortion,,,,,,
North Dakota,1,Access to an abortion is restricted,,,,,,
Nebraska,0,No laws regarding access to an abortion,,,,,,
New Hampshire,0,No laws regarding access to an abortion,,,,,,
New Jersey,0,No laws regarding access to an abortion,,,,,,
New Mexico,1,Access to an abortion is restricted,,,,,,
Nevada,2,Access to an abortion is guaranteed,,,,,,
New York,2,Access to an abortion is guaranteed,,,,,,
Ohio,1,Access to an abortion is restricted,,,,,,
Oklahoma,1,Access to an abortion is restricted,,,,,,
Oregon,2,Access to an abortion is guaranteed,,,,,,
Pennsylvania,0,No laws regarding access to an abortion,,,,,,
Rhode Island,1,Access to an abortion is restricted,,,,,,
South Carolina,0,No laws regarding access to an abortion,,,,,,
South Dakota,1,Access to an abortion is restricted,,,,,,
Tennessee,0,No laws regarding access to an abortion,,,,,,
Texas,1,Access to an abortion is restricted,,,,,,
Utah,1,Access to an abortion is restricted,,,,,,
Virginia,0,No laws regarding access to an abortion,,,,,,
Vermont,0,No laws regarding access to an abortion,,,,,,
Washington,2,Access to an abortion is guaranteed,,,,,,
Wisconsin,1,Access to an abortion is restricted,,,,,,
West Virginia,1,Access to an abortion is restricted,,,,,,
Wyoming,0,No laws regarding access to an abortion,,,,,,
