team,seed,winPct,position,newPos,round,favorite,regionVal,region,rs,direction
Pittsburgh,12,0.109,8.5,8.5,1,1,1,east,east1,
Boston College,13,0.891,9.5,9.5,1,0,1,east,east16,up
Louisville,11,0.237,14.5,14.5,1,1,,,,
Georgia Tech,14,0.763,15.5,15.5,1,0,,,,up
Clemson,10,0.154,20.5,20.5,1,1,,,,
NC State,15,0.846,21.5,21.5,1,0,,,,up
Florida State,8,0.243,4,4,2,1,1,east,east8,
Syracuse,9,0.757,5,5,2,0,1,east,east9,up
Wake Forest,5,0.85,7,7,2,1,1,east,east5,
Boston College,13,0.15,8,8,2,0,1,east,east12,down
Virginia,6,0.043,13,13,2,1,1,east,east6,
Georgia Tech,14,0.957,14,14,2,0,1,east,east11,down
Virginia Tech,7,0.148,19,19,2,1,1,east,east7,
NC State,15,0.852,20,20,2,0,1,east,east10,down
Duke,1,0.649,2.5,2.5,3,1,1,east,east1,
Syracuse,9,0.351,3.5,3.5,3,0,1,east,east8,down
Wake Forest,5,0.593,8.5,8.5,3,1,1,east,east5,
Miami (FL),4,0.407,9.5,9.5,3,0,1,east,east4,up
Georgia Tech,14,0.487,14.5,14.5,3,1,1,east,east6,
UNC,3,0.513,15.5,15.5,3,0,1,east,east3,down
NC State,15,0.811,20.5,20.5,3,1,1,east,east7,
Notre Dame,2,0.189,21.5,21.5,3,0,1,east,east2,up
Duke,1,0.503,5.5,5.5,4,1,1,east,east1,
Wake Forest,5,0.497,6.5,6.5,4,0,1,east,east4,down
NC State,15,0.497,17.5,17.5,4,1,1,east,east6,
UNC,3,0.503,18.5,18.5,4,0,1,east,east2,up
Duke,1,0.64,11.5,11.5,5,1,1,east,east1,
UNC,3,0.36,12.5,12.5,5,1,1,east,east2,
