team,seed,winPct,position,newPos,round,favorite,regionVal,region,rs,direction
Northwestern,12,0.102,8.5,8.5,1,1,1,east,east1,
Minnesota,13,0.898,9.5,9.5,1,0,1,east,east16,up
Maryland,11,0.238,14.5,14.5,1,1,,,,
Nebraska,14,0.762,15.5,15.5,1,0,,,,up
Rutgers,8,0.242,4,4,2,1,1,east,east8,
Indiana,9,0.758,5,5,2,0,1,east,east9,up
Ohio State,5,0.195,7,7,2,1,1,east,east5,
Minnesota,13,0.805,8,8,2,0,1,east,east12,down
Michigan,6,0.404,13,13,2,1,1,east,east6,
Nebraska,14,0.596,14,14,2,0,1,east,east11,down
Michigan State,7,0.329,19,19,2,1,1,east,east7,
Penn State,10,0.671,20,20,2,0,1,east,east10,down
Wisconsin,1,0.59,2.5,2.5,3,1,1,east,east1,
Indiana,9,0.41,3.5,3.5,3,0,1,east,east8,down
Minnesota,13,0.417,8.5,8.5,3,1,1,east,east5,
Iowa,4,0.583,9.5,9.5,3,0,1,east,east4,up
Nebraska,14,0.611,14.5,14.5,3,1,1,east,east6,
Purdue,3,0.389,15.5,15.5,3,0,1,east,east3,down
Penn State,10,0.351,20.5,20.5,3,1,1,east,east7,
Illinois,2,0.649,21.5,21.5,3,0,1,east,east2,up
Wisconsin,1,0.358,5.5,5.5,4,1,1,east,east1,
Iowa,4,0.642,6.5,6.5,4,0,1,east,east4,down
Illinois,2,0.305,17.5,17.5,4,1,1,east,east6,
Nebraska,14,0.695,18.5,18.5,4,0,1,east,east2,up
Iowa,1,0.73,11.5,11.5,5,1,1,east,east1,
Nebraska,14,0.27,12.5,12.5,5,1,1,east,east2,
