team,seed,position,newPos,round,favorite,regionVal,region,rs,direction,winner,
Villanova  ,1,1,1,1,1,1,east,east1,,,
Lafayette  ,16,2,2,1,0,1,east,east16,down,,
North Carolina State  ,8,4,4,1,1,1,east,east8,,,
Louisiana State  ,9,5,5,1,0,1,east,east9,up,,
Northern Iowa  ,5,7,7,1,1,1,east,east5,,,
Wyoming  ,12,8,8,1,0,1,east,east12,down,,
Louisville  ,4,10,10,1,1,1,east,east4,,,
UC-Irvine  ,13,11,11,1,0,1,east,east13,up,,
Providence  ,6,13,13,1,1,1,east,east6,,,
Dayton  ,11,14,14,1,0,1,east,east11,down,,
Oklahoma  ,3,16,16,1,1,1,east,east3,,,
Albany (NY)  ,14,17,17,1,0,1,east,east14,up,,
Michigan State  ,7,19,19,1,1,1,east,east7,,,
Georgia  ,10,20,20,1,0,1,east,east10,down,,
Virginia  ,2,22,22,1,1,1,east,east2,,,
Belmont  ,15,23,23,1,0,1,east,east15,up,,
,,2.5,2.5,2,1,1,east,east1,,Villanova  ,1
,,3.5,3.5,2,0,1,east,east9,down,Louisiana State  ,9
,,8.5,8.5,2,1,1,east,east12,,Wyoming  ,12
,,9.5,9.5,2,0,1,east,east13,up,UC-Irvine  ,13
,,14.5,14.5,2,1,1,east,east11,,Dayton  ,11
,,15.5,15.5,2,0,1,east,east3,down,Oklahoma  ,3
,,20.5,20.5,2,1,1,east,east10,,Georgia  ,10
,,21.5,21.5,2,0,1,east,east15,up,Belmont  ,15
,,5.5,5.5,3,1,1,east,east1,,Villanova  ,1
,,6.5,6.5,3,0,1,east,east12,down,Wyoming  ,12
,,17.5,17.5,3,1,1,east,east11,,Dayton  ,11
,,18.5,18.5,3,0,1,east,east15,up,Belmont  ,15
,,11.5,11.5,4,1,1,east,east12,,Wyoming  ,12
,,12.5,12.5,4,0,1,east,east11,,Dayton  ,11
,,12,12,5,1,1,east,east11,,Dayton  ,11
Wisconsin  ,1,1,26,1,1,2,west,west1,,,
Coastal Carolina  ,16,2,27,1,0,2,west,west16,down,,
Oregon  ,8,4,29,1,1,2,west,west8,,,
Oklahoma State  ,9,5,30,1,0,2,west,west9,up,,
Arkansas  ,5,7,32,1,1,2,west,west5,,,
Wofford  ,12,8,33,1,0,2,west,west12,down,,
North Carolina  ,4,10,35,1,1,2,west,west4,,,
Harvard  ,13,11,36,1,0,2,west,west13,up,,
Xavier  ,6,13,38,1,1,2,west,west6,,,
Mississippi  ,11,14,39,1,0,2,west,west11,down,,
Baylor  ,3,16,41,1,1,2,west,west3,,,
Georgia State  ,14,17,42,1,0,2,west,west14,up,,
Virginia Commonwealth  ,7,19,44,1,1,2,west,west7,,,
Ohio State  ,10,20,45,1,0,2,west,west10,down,,
Arizona  ,2,22,47,1,1,2,west,west2,,,
Texas Southern  ,15,23,48,1,0,2,west,west15,up,,
,,2.5,27.5,2,1,2,west,west1,,Wisconsin  ,1
,,3.5,28.5,2,0,2,west,west8,down,Oregon  ,8
,,8.5,33.5,2,1,2,west,west12,,Wofford  ,12
,,9.5,34.5,2,0,2,west,west13,up,Harvard  ,13
,,14.5,39.5,2,1,2,west,west11,,Mississippi  ,11
,,15.5,40.5,2,0,2,west,west3,down,Baylor  ,3
,,20.5,45.5,2,1,2,west,west7,,Virginia Commonwealth  ,7
,,21.5,46.5,2,0,2,west,west15,up,Texas Southern  ,15
,,5.5,30.5,3,1,2,west,west1,,Wisconsin  ,1
,,6.5,31.5,3,0,2,west,west13,down,Harvard  ,13
,,17.5,42.5,3,1,2,west,west3,,Baylor  ,3
,,18.5,43.5,3,0,2,west,west15,up,Texas Southern  ,15
,,11.5,36.5,4,1,2,west,west13,,Harvard  ,13
,,12.5,37.5,4,0,2,west,west3,,Baylor  ,3
,,12,37,5,1,2,west,west3,,Baylor  ,3
