team,seed,score,winPct,position,newPos,round,favorite,regionVal,region,rs,direction,,,Duke  ,North Dakota State  ,Virginia Commonwealth  ,Central Florida  
Duke  ,1,133.6614972,0.982946935,1,1,1,1,1,east,east1,,,Duke  ,-,0.028803358,0.39756851,0.346509638
North Dakota State  ,16,38.35365507,0.017053065,2,2,1,0,1,east,east16,down,,North Dakota State  ,0.982946935,-,0.966770542,0.958976203
Virginia Commonwealth  ,8,116.4507763,0.619376959,4,4,1,1,1,east,east8,,,Virginia Commonwealth  ,0.721475998,0.055496669,-,0.512318413
Central Florida  ,9,110.9426854,0.380623041,5,5,1,0,1,east,east9,up,,Central Florida  ,0.763254418,0.068145869,0.619376959,-
Mississippi State  ,5,96.46947859,0.512673765,7,7,1,1,1,east,east5,,,,0.828002688,0.002034668,0.259292865,0.188647075
Liberty  ,12,101.9417662,0.487326235,8,8,1,0,1,east,east12,down,,,,,,
Virginia Tech  ,4,134.2786551,0.874346687,10,10,1,1,1,east,east4,,,,,,,
Saint Louis  ,13,92.19321062,0.125653313,11,11,1,0,1,east,east13,up,,,1.119044509,,,
Maryland  ,6,113.6827139,0.890406118,13,13,1,1,1,east,east6,,,,,1.027122072,,
Belmont  ,11,67.69683688,0.109593882,14,14,1,0,1,east,east11,down,,,,,,
Louisiana State  ,3,88.95665507,0.804222527,16,16,1,1,1,east,east3,,,,,,,
Yale  ,14,60.13865507,0.195777473,17,17,1,0,1,east,east14,up,,,,,,
Louisville  ,7,106.6233609,0.70707225,19,19,1,1,1,east,east7,,,,,,,
Minnesota  ,10,91.18954395,0.29292775,20,20,1,0,1,east,east10,down,,,,,,
Michigan State  ,2,138.5053987,0.944534612,22,22,1,1,1,east,east2,,,,,,,
Bradley  ,15,73.89065507,0.055465388,23,23,1,0,1,east,east15,up,,,,,,
Duke  ,1,133.6614972,0.721475998,2.5,2.5,2,1,1,east,east1,,,,,,,
Virginia Commonwealth  ,8,116.4507763,0.278524002,3.5,3.5,2,0,1,east,east8,down,,,,,,
Mississippi State  ,5,96.46947859,0.225501978,8.5,8.5,2,1,1,east,east5,,,,,,,
Virginia Tech  ,4,134.2786551,0.774498022,9.5,9.5,2,0,1,east,east4,up,,,,,,
Maryland  ,6,113.6827139,0.77735937,14.5,14.5,2,1,1,east,east6,,,,,,,
Louisiana State  ,3,88.95665507,0.22264063,15.5,15.5,2,0,1,east,east3,down,,,,,,
Louisville  ,7,106.6233609,0.26925043,20.5,20.5,2,1,1,east,east7,,,,,,,
Michigan State  ,2,138.5053987,0.73074957,21.5,21.5,2,0,1,east,east2,up,,,,,,
Duke  ,1,133.6614972,0.560595036,5.5,5.5,3,1,1,east,east1,,,,,,,
Virginia Tech  ,4,134.2786551,0.439404964,6.5,6.5,3,0,1,east,east4,down,,,,,,
Maryland  ,6,113.6827139,0.327834848,17.5,17.5,3,1,1,east,east6,,,,,,,
Michigan State  ,2,138.5053987,0.672165152,18.5,18.5,3,0,1,east,east2,up,,,,,,
Duke  ,1,133.6614972,0.518908163,11.5,11.5,4,1,1,east,east1,,,,,,,
Michigan State  ,2,138.5053987,0.481091837,12.5,12.5,4,1,1,east,east2,,,,,,,
Duke  ,1,133.6614972,0.441550223,1,102,1,0,5,east,east1,down,,,,,,
Gonzaga  ,1,146.322628,0.990542274,1,26,1,1,2,west,west1,,,,,,,
Fairleigh Dickinson  ,16,35.98165507,0.009457726,2,27,1,0,2,west,west16,down,,,,,,
