County,Trump/Pence,Biden/Harris,PopulationDensity,Population,RepVoteShare,DemVoteShare,OtherVoteShare,Margin,StateComparison
Adair,6391,3705,45,25642,0.61826449,0.35842121,0.02331431,0.25984328,-0.251528462
Andrew,7256,2351,39.8,17373,0.74230179,0.24051151,0.0171867,0.50179028,-0.009581462
Atchison,2199,564,10,5520,0.78144989,0.20042644,0.01812367,0.58102345,0.069651708
Audrain,7727,2703,36.8,25637,0.72485929,0.25356473,0.02157598,0.47129456,-0.040077182
Barry,12425,2948,45.1,35681,0.79560735,0.18876865,0.015624,0.6068387,0.095466958
Barton,5168,844,20.6,12286,0.85041961,0.13888432,0.01069607,0.7115353,0.200163558
Bates,6595,1672,19.7,16780,0.78186129,0.1982217,0.01991701,0.5836396,0.072267858
Benton,8106,2179,25.2,18961,0.77362092,0.20795953,0.01841955,0.56566139,0.054289648
Bollinger,5162,749,20,12394,0.86306638,0.12522989,0.01170373,0.73783648,0.226464738
Boone,38596,49999,243.5,168268,0.42320175,0.54823465,0.0285636,-0.1250329,-0.636404642
Buchanan,22450,13445,215.9,89536,0.6134215,0.3673698,0.0192087,0.2460517,-0.265320042
Butler,14599,3301,61.5,42957,0.80492915,0.18200364,0.01306721,0.62292551,0.111553768
Caldwell,3725,897,21.4,9176,0.79322828,0.19101363,0.01575809,0.60221465,0.090842908
Callaway,14812,5868,52.5,44483,0.69940504,0.27707999,0.02351497,0.42232505,-0.089046692
Camden,18825,5640,61.9,43873,0.75986922,0.22765803,0.01247275,0.53221119,0.020839448
Cape Girardeau,28873,10738,131.4,77031,0.71492596,0.26588422,0.01918982,0.44904175,-0.062329992
Carroll,3706,785,13.1,9157,0.81629956,0.17290749,0.01079295,0.64339207,0.132020328
Carter,2451,418,12.3,6283,0.84342739,0.14384033,0.01273228,0.69958706,0.188215318
Cass,37172,19035,142.8,100339,0.64589668,0.33075012,0.0233532,0.31514657,-0.196225172
Cedar,5786,1143,27.9,13912,0.82199176,0.16238102,0.01562722,0.65961074,0.148238998
Chariton,3109,916,10.1,7727,0.76275761,0.22473013,0.01251227,0.53802748,0.026655738
Christian,34904,11126,141.6,79856,0.74558893,0.23766395,0.01674713,0.50792498,-0.003446762
Clark,2672,678,13.7,7001,0.78657639,0.19958787,0.01383574,0.58698852,0.075616778
Clay,64583,59519,557.9,227984,0.51006176,0.47006745,0.01987079,0.03999431,-0.471377432
Clinton,7789,2894,48.5,20545,0.71498072,0.26565082,0.01936846,0.44932991,-0.062041832
Cole,26066,12687,190.2,76426,0.66013271,0.32130375,0.01856354,0.33882895,-0.172542792
Cooper,6272,2249,30.9,17585,0.72009185,0.25820896,0.0216992,0.46188289,-0.049488852
Crawford,8725,2113,33.2,24680,0.79513351,0.19256357,0.01230293,0.60256994,0.091198198
Dade,3414,656,15.2,7678,0.82803784,0.15910745,0.01285472,0.66893039,0.157558648
Dallas,6620,1380,30.6,16632,0.81507018,0.16990889,0.01502093,0.64516129,0.133789548
Daviess,3077,740,14.6,8324,0.79222451,0.19052523,0.01725026,0.60169928,0.090327538
De Kalb,3827,930,30.1,12824,0.7889095,0.19171305,0.01937745,0.59719645,0.085824708
Dent,5987,1056,20.8,15681,0.83828059,0.14785774,0.01386166,0.69042285,0.179051108
Douglas,5896,1012,16.7,13575,0.84300829,0.14469545,0.01229625,0.69831284,0.186941098
Dunklin,8135,2200,58.1,31778,0.78003644,0.21095023,0.00901333,0.5690862,0.057714458
Franklin,38034,14561,109.3,101682,0.70758297,0.27089225,0.02152478,0.43669073,-0.074681012
Gasconade,6222,1601,28.6,15014,0.7853086,0.20206992,0.01262148,0.58323867,0.071866928
Gentry,2580,613,13.8,6792,0.79654214,0.18925594,0.01420191,0.6072862,0.095914458
Greene,81312,53307,414,280657,0.5889016,0.38607558,0.02502281,0.20282602,-0.308545722
Grundy,3585,799,23.5,10279,0.80797836,0.18007663,0.01194501,0.62790174,0.116529998
Harrison,3198,597,12.1,8795,0.83607843,0.15607843,0.00784314,0.68,0.168628258
Henry,8019,2615,30.2,22134,0.74415367,0.24266889,0.01317743,0.50148478,-0.009886962
Hickory,3965,1054,22.9,9420,0.78051181,0.20748031,0.01200787,0.5730315,0.061659758
Holt,1976,338,10,4695,0.84300341,0.14419795,0.01279863,0.69880546,0.187433718
Howard,3552,1412,21.6,10183,0.69701727,0.27708006,0.02590267,0.41993721,-0.091434532
Howell,15174,3214,43.6,40469,0.81409947,0.17243414,0.01346639,0.64166533,0.130293588
Iron,3596,945,18.9,10424,0.78139939,0.2053455,0.01325511,0.57605389,0.064682148
Jackson,99731,91561,1100.5,678167,0.50923434,0.46751768,0.02324798,0.04171666,-0.469655082
Jasper,37714,13539,182.4,116996,0.71815672,0.25781205,0.02403123,0.46034466,-0.051027082
Jefferson,77021,37507,332,220558,0.66031395,0.3215538,0.01813225,0.33876015,-0.172611592
Johnson,15468,6961,64.7,53879,0.66862626,0.30089911,0.03047463,0.36772715,-0.143644592
Kansas City,26166,106470,5285.59784,1686000,0.19283519,0.78465042,0.02251439,-0.5918152,-1.103186942
Knox,1486,340,8,4078,0.80064655,0.18318966,0.01616379,0.6174569,0.106085158
Laclede,13755,2779,46.3,35544,0.81953051,0.16557436,0.01489514,0.65395615,0.142584408
Lafayette,12262,4470,51.8,33069,0.71968541,0.26235474,0.01795985,0.45733067,-0.054041072
Lawrence,14421,3214,62.5,38306,0.80429448,0.17925265,0.01645287,0.62504183,0.113670088
Lewis,3541,984,19.9,10176,0.77028497,0.21405264,0.01566239,0.55623233,0.044860588
Lincoln,21702,6553,83.5,53458,0.751949,0.22705381,0.02099719,0.52489519,0.013523448
Linn,4344,1274,20.1,12494,0.76090384,0.22315642,0.01593974,0.53774742,0.026375678
Livingston,5266,1409,27.9,15034,0.7794553,0.20855536,0.01198934,0.57089994,0.059528198
Macon,6075,1661,19.1,15527,0.77457606,0.21178121,0.01364274,0.56279485,0.051423108
Madison,4581,1017,24.8,12353,0.80779404,0.17933345,0.01287251,0.62846059,0.117088848
Maries,3890,814,17.2,9098,0.81483033,0.17050691,0.01466276,0.64432342,0.132951678
Marion,9910,3201,64.9,28844,0.74121167,0.2394166,0.01937173,0.50179506,-0.009576682
