State,pop2016,reg2016,regPct2016,pop2020,reg2020,regPct2020,popChange,regChange,regPctChange,newPopRegPct,ClintonVotes,ClintonPct,TrumpVotes,TrumpPct
Alabama,3717000,2526000,0.679580307,4908620,3708804,0.75556959,1191620,1182804,0.075989283,0.992601668,729547,0.3436,1318255,0.6208
Alaska,518000,358000,0.691119691,734002,597319,0.813783886,216002,239319,0.122664195,1.107948075,116454,0.3655,163387,0.5128
Arizona,5196000,3145000,0.605273287,7378490,4281152,0.580220614,2182490,1136152,-0.025052673,0.520576039,1161167,0.4513,1252401,0.4867
Arkansas,2216000,1456000,0.657039711,3039000,1755775,0.577747614,823000,299775,-0.079292097,0.364246659,380494,0.3365,684872,0.6057
California,29894000,16096000,0.538435807,39937500,22047448,0.552048776,10043500,5951448,0.01361297,0.592567133,8753788,0.6173,4483810,0.3162
Colorado,4242000,2893000,0.681989628,5845530,4238513,0.725086177,1603530,1345513,0.043096549,0.839094373,1338870,0.4816,1202484,0.4325
Connecticut,2759000,1763000,0.638999638,3563080,2375537,0.666708859,804080,612537,0.027709221,0.761786141,897572,0.5457,673215,0.4093
Delaware,729000,487000,0.668038409,982895,738563,0.75141597,253895,251563,0.083377561,0.990815101,235603,0.5309,185127,0.4172
Florida,16202000,9604000,0.592766325,21993000,14065627,0.639550175,5791000,4461627,0.04678385,0.770441547,4504975,0.4782,4617886,0.4902
Georgia,7626000,4892000,0.641489641,10736100,7233584,0.673762726,3110100,2341584,0.032273085,0.752896691,1877963,0.4564,2089104,0.5077
Hawaii,1064000,530000,0.498120301,1412690,830000,0.587531589,348690,300000,0.089411288,0.860363073,266891,0.6222,128847,0.3003
Idaho,1224000,790000,0.645424837,1826160,1010984,0.553611951,602160,220984,-0.091812886,0.366985519,189765,0.2749,409055,0.5926
Illinois,9723000,6665000,0.685488018,12659700,8036534,0.634812357,2936700,1371534,-0.050675661,0.467032383,3090729,0.5583,2146015,0.3876
Indiana,4988000,3298000,0.661186848,6745350,4585024,0.679731074,1757350,1287024,0.018544226,0.732366347,1033126,0.3791,1557286,0.5682
Iowa,2394000,1657000,0.692147034,3179850,2245096,0.706038335,785850,588096,0.013891301,0.748356557,653669,0.4174,800983,0.5115
Kansas,2142000,1438000,0.671335201,2910360,1851397,0.636140203,768360,413397,-0.035194998,0.538025144,427005,0.3605,671018,0.5665
Kentucky,3348000,2253000,0.672939068,4499690,3565428,0.792371919,1151690,1312428,0.119432851,1.139567071,628854,0.3268,1202971,0.6252
Louisiana,3463000,2446000,0.706323997,4645180,3091340,0.665494125,1182180,645340,-0.040829871,0.545889797,780154,0.3845,1178638,0.5809
Maine,1058000,830000,0.784499055,1345790,1063383,0.790155225,287790,233383,0.00565617,0.810948956,357735,0.4783,335593,0.4487
Maryland,4623000,3114000,0.673588579,6083120,4141498,0.680818067,1460120,1027498,0.007229488,0.703707914,1677928,0.6033,943169,0.3391
Massachusetts,5374000,3660000,0.681056941,6976600,4812909,0.689864547,1602600,1152909,0.008807606,0.719399101,1995196,0.6001,1090893,0.3281
Michigan,7624000,5434000,0.712749213,10045000,8127040,0.809063216,2421000,2693040,0.096314003,1.112366791,2268839,0.4727,2279543,0.475
Minnesota,4190000,3055000,0.729116945,5700670,3588563,0.629498462,1510670,533563,-0.099618483,0.353196264,1367716,0.4644,1322951,0.4492
Mississippi,2203000,1725000,0.78302315,2989260,1985928,0.664354389,786260,260928,-0.118668762,0.33185969,485131,0.4011,700714,0.5794
Missouri,4626000,3333000,0.720492866,6169270,4213092,0.682915807,1543270,880092,-0.03757706,0.570277398,1071068,0.3814,1594511,0.5677
Montana,798000,581000,0.728070175,1086760,696292,0.640704479,288760,115292,-0.087365696,0.399265826,177709,0.3575,279240,0.5617
Nebraska,1407000,1008000,0.71641791,1952570,1252089,0.641251786,545570,244089,-0.075166124,0.4474018,284494,0.337,495961,0.5875
Nevada,2234000,1371000,0.613697404,3139660,1821356,0.580112496,905660,450356,-0.033584908,0.497268291,539260,0.4792,512058,0.455
New Hampshire,1044000,763000,0.730842912,1371250,998537,0.728194713,327250,235537,-0.002648199,0.719746371,348526,0.4698,345790,0.4661
New Jersey,6862000,4165000,0.606965899,8936570,6486299,0.725815274,2074570,2321299,0.118849374,1.118930188,2148278,0.5545,1601933,0.4135
New Mexico,1547000,916000,0.592113769,2096640,1350181,0.643973691,549640,434181,0.051859923,0.78993705,385234,0.4826,319667,0.4004
New York,15506000,9142000,0.589578228,19440500,13555547,0.697283866,3934500,4413547,0.107705638,1.121755496,4556124,0.5901,2819534,0.3652
North Carolina,7631000,5194000,0.680644739,10611900,7361219,0.693675873,2980900,2167219,0.013031135,0.727035124,2189316,0.4617,2362631,0.4983
North Dakota,583000,424000,0.727272727,761723,581379,0.763242018,178723,157379,0.035969291,0.880574968,93758,0.2723,216794,0.6296
Ohio,8811000,6128000,0.695494269,11747700,7774767,0.661811844,2936700,1646767,-0.033682425,0.560754248,2394164,0.4356,2841005,0.5169
Oklahoma,2923000,1861000,0.636674649,3954820,2259113,0.571230296,1031820,398113,-0.065444353,0.385835708,420375,0.2893,949136,0.6532
Oregon,3185000,2147000,0.674097331,4301090,2924292,0.679895561,1116090,777292,0.00579823,0.696442043,1002106,0.5007,782403,0.3909
Pennsylvania,9980000,6909000,0.692284569,12820900,9091371,0.709105523,2840900,2182371,0.016820954,0.76819705,2926441,0.4746,2970733,0.4818
Rhode Island,836000,538000,0.64354067,1056160,809821,0.766759771,220160,271821,0.123219101,1.234652071,252525,0.5441,180543,0.389
South Carolina,3733000,2575000,0.689793732,5210100,3513225,0.674310474,1477100,938225,-0.015483258,0.635180421,855373,0.4067,1155389,0.5494
South Dakota,631000,437000,0.692551506,903027,578666,0.640806975,272027,141666,-0.051744531,0.520779187,117458,0.3174,227721,0.6153
Tennessee,5057000,3251000,0.642871268,6897580,3931248,0.569945981,1840580,680248,-0.072925286,0.369583501,870695,0.3472,1522925,0.6072
Texas,20172000,11724000,0.581201666,29472300,16211198,0.550048622,9300300,4487198,-0.031153044,0.482478845,3877868,0.4324,4685047,0.5223
United States,245502000,157596000,0.641933671,330598493,213799467,0.6467043,85096493,56203467,0.004770629,0.660467488,65853516,0.4818,62984825,0.4609
Utah,2096000,1398000,0.666984733,3282120,1857861,0.566055172,1186120,459861,-0.100929561,0.387701919,310676,0.2746,515231,0.4554
Vermont,500000,351000,0.702,628061,495267,0.788565123,128061,144267,0.086565123,1.126549066,178573,0.5668,95369,0.3027
Virginia,6343000,4399000,0.693520416,8626210,5975696,0.692737135,2283210,1576696,-0.000783281,0.690561096,1981473,0.4973,1769443,0.4441
Washington,5592000,3906000,0.698497854,7797100,4861482,0.623498737,2205100,955482,-0.074999117,0.433305519,1742718,0.5254,1221747,0.3683
West Virginia,1434000,913000,0.636680614,1778070,1268460,0.713391486,344070,355460,0.076710873,1.033103729,188794,0.2643,489371,0.685
Wisconsin,4465000,3323000,0.744232923,5851750,3684726,0.629679327,1386750,361726,-0.114553596,0.26084442,1382536,0.4645,1405284,0.4722
Wyoming,436000,304000,0.697247706,567025,268837,0.474118425,131025,-35163,-0.223129281,-0.268368632,55973,0.2163,174419,0.674
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
