team,seed,winPct,position,newPos,round,favorite,regionVal,region,rs,direction
Nevada,8,0.357,4,4,1,1,1,east,east8,
New Mexico,9,0.643,5,5,1,0,1,east,east9,up
Fresno State,6,0.169,13,13,1,1,1,east,east6,
San Jose State,11,0.831,14,14,1,0,1,east,east11,down
Utah State,7,0.361,19,19,1,1,1,east,east7,
Air Force,10,0.639,20,20,1,0,1,east,east10,down
Boise State,1,0.492,2.5,2.5,2,1,1,east,east1,
New Mexico,9,0.508,3.5,3.5,2,0,1,east,east8,down
UNLV,5,0.162,8.5,8.5,2,1,1,east,east5,
Wyoming,4,0.838,9.5,9.5,2,0,1,east,east4,up
San Jose State,11,0.747,14.5,14.5,2,1,1,east,east6,
San Diego State,3,0.253,15.5,15.5,2,0,1,east,east3,down
New Mexico,10,0.368,20.5,20.5,2,1,1,east,east7,
Colorado State,2,0.632,21.5,21.5,2,0,1,east,east2,up
New Mexico,9,0.355,5.5,5.5,3,1,1,east,east1,
Wyoming,4,0.645,6.5,6.5,3,0,1,east,east4,down
Colorado State,2,0.512,17.5,17.5,3,1,1,east,east6,
San Jose State,11,0.488,18.5,18.5,3,0,1,east,east2,up
Wyoming,4,0.383,11.5,11.5,4,1,1,east,east1,
Colorado State,2,0.617,12.5,12.5,4,1,1,east,east2,
