States,leader,realMargin,Biden20Percent,Trump20Percent,voteMargin,difference,absDiff
Alabama,Trump,-0.195,0.365,0.621,-0.256,0.061,0.061
Alaska,Trump,-0.077,0.403,0.559,-0.156,0.079,0.079
Arizona,Biden,0.026,0.494,0.491,0.003,0.023,0.023
Arkansas,Trump,-0.228,0.346,0.626,-0.28,0.052,0.052
California,Biden,0.292,0.642,0.337,0.305,-0.013,0.013
Colorado,Biden,0.125,0.554,0.419,0.135,-0.01,0.01
Connecticut,Biden,0.263,0.592,0.392,0.2,0.063,0.063
Delaware,Biden,0.243,0.588,0.398,0.19,0.053,0.053
District of Columbia,Biden,0.85,0.924,0.053,0.871,-0.021,0.021
Florida,Biden,0.025,0.478,0.512,-0.034,0.059,0.059
Georgia,Biden,0.012,0.495,0.492,0.003,0.009,0.009
Hawaii,Biden,0.343,0.637,0.343,0.294,0.049,0.049
Idaho,Trump,-0.181,0.331,0.638,-0.307,0.126,0.126
Illinois,Biden,0.16,0.57,0.41,0.16,0,0
Indiana,Trump,-0.108,0.409,0.57,-0.161,0.053,0.053
Iowa,Trump,-0.013,0.449,0.531,-0.082,0.069,0.069
Kansas,Trump,-0.129,0.413,0.565,-0.152,0.023,0.023
Kentucky,Trump,-0.157,0.362,0.621,-0.259,0.102,0.102
Louisiana,Trump,-0.206,0.399,0.585,-0.186,-0.02,0.02
Maine,Biden,0.13,0.535,0.435,0.1,0.03,0.03
Maryland,Biden,0.314,0.646,0.335,0.311,0.003,0.003
Massachusetts,Biden,0.358,0.652,0.325,0.327,0.031,0.031
Michigan,Biden,0.079,0.505,0.479,0.026,0.053,0.053
Minnesota,Biden,0.092,0.525,0.454,0.071,0.021,0.021
Mississippi,Trump,-0.159,0.391,0.594,-0.203,0.044,0.044
Missouri,Trump,-0.08,0.413,0.569,-0.156,0.076,0.076
Montana,Trump,-0.044,0.404,0.567,-0.163,0.119,0.119
Nebraska,Trump,-0.097,0.392,0.585,-0.193,0.096,0.096
Nevada,Biden,0.053,0.502,0.475,0.027,0.026,0.026
New Hampshire,Biden,0.111,0.528,0.455,0.073,0.038,0.038
New Jersey,Biden,0.204,0.574,0.411,0.163,0.041,0.041
New Mexico,Biden,0.117,0.542,0.436,0.106,0.011,0.011
New York,Biden,0.294,0.557,0.429,0.128,0.166,0.166
North Carolina,Biden,0.018,0.487,0.5,-0.013,0.031,0.031
North Dakota,Trump,-0.173,0.318,0.651,-0.333,0.16,0.16
Ohio,Trump,-0.008,0.452,0.533,-0.081,0.073,0.073
Oklahoma,Trump,-0.23,0.323,0.654,-0.331,0.101,0.101
Oregon,Biden,0.213,0.565,0.403,0.162,0.051,0.051
Pennsylvania,Biden,0.047,0.498,0.49,0.008,0.039,0.039
Rhode Island,Biden,0.306,0.596,0.389,0.207,0.099,0.099
South Carolina,Trump,-0.071,0.434,0.551,-0.117,0.046,0.046
South Dakota,Trump,-0.154,0.356,0.618,-0.262,0.108,0.108
Tennessee,Trump,-0.137,0.374,0.607,-0.233,0.096,0.096
Texas,Trump,-0.011,0.464,0.521,-0.057,0.046,0.046
Utah,Trump,-0.098,0.378,0.581,-0.203,0.105,0.105
Vermont,Biden,0.387,0.66,0.306,0.354,0.033,0.033
Virginia,Biden,0.118,0.543,0.442,0.101,0.017,0.017
Washington,Biden,0.23,0.585,0.389,0.196,0.034,0.034
West Virginia,Trump,-0.286,0.296,0.687,-0.391,0.105,0.105
Wisconsin,Biden,0.084,0.495,0.488,0.007,0.077,0.077
Wyoming,Trump,-0.315,0.266,0.699,-0.433,0.118,0.118
