team,seed,winPct,position,newPos,round,favorite,regionVal,region,rs,direction
Texas A&M,12,0.298328359,8.5,8.5,1,1,1,east,east1,
Vanderbilt,13,0.701671641,9.5,9.5,1,0,1,east,east16,up
Kentucky,8,0.071719281,4,4,2,1,1,east,east8,
Mississippi State,9,0.928280719,5,5,2,0,1,east,east9,up
Florida,5,,7,7,2,1,1,east,east5,
,12,,8,8,2,0,1,east,east12,down
Ole Miss,6,0.937376209,13,13,2,1,1,east,east6,
South Carolina,11,0.062623791,14,14,2,0,1,east,east11,down
Missouri,7,0.759202856,19,19,2,1,1,east,east7,
Georgia,10,0.240797144,20,20,2,0,1,east,east10,down
Alabama,1,,2.5,2.5,3,1,1,east,east1,
,8,,3.5,3.5,3,0,1,east,east8,down
,5,,8.5,8.5,3,1,1,east,east5,
Tennesee,4,,9.5,9.5,3,0,1,east,east4,up
,6,,14.5,14.5,3,1,1,east,east6,
LSU,3,,15.5,15.5,3,0,1,east,east3,down
,7,,20.5,20.5,3,1,1,east,east7,
Arkansas,2,,21.5,21.5,3,0,1,east,east2,up
,1,,5.5,5.5,4,1,1,east,east1,
,4,,6.5,6.5,4,0,1,east,east4,down
,6,,17.5,17.5,4,1,1,east,east6,
,2,,18.5,18.5,4,0,1,east,east2,up
,1,,11.5,11.5,5,1,1,east,east1,
,2,,12.5,12.5,5,1,1,east,east2,
